t,x,y,z,ex,ey,ez,min_obstacle_distance
9.729995489120483,1.9900208182699963,0.0,1.4980140181630386,1.9900208182699963,0.0,-0.0019859818369614146,0.21637855395770328
9.740027904510498,1.9955760384430223,0.0,1.4980337815191538,1.9955760384430223,0.0,-0.0019662184808462158,0.221327875741616
9.750070095062256,2.00004928578912,0.0,1.4980498617601388,2.00004928578912,0.0,-0.0019501382398612321,0.2253198936662974
9.760047197341919,2.005429250726797,0.0,1.498069431737304,2.005429250726797,0.0,-0.0019305682626959975,0.23012880031742217
9.770019292831421,2.010237259550704,0.0,1.498087166196635,2.010237259550704,0.0,-0.0019128338033649328,0.23443345789562836
9.780041694641113,2.0149667925360806,0.0,1.4981048670220316,2.0149667925360806,0.0,-0.0018951329779683945,0.238674176707446
9.78996992111206,2.0191565925527915,0.0,1.498120781585555,2.0191565925527915,0.0,-0.0018792184144449386,0.2424360923578927
9.800106525421143,2.0237380344824323,0.0,1.4981384563192888,2.0237380344824323,0.0,-0.0018615436807112307,0.2465550937809426
9.81002140045166,2.0286881194299187,0.0,1.4981578929420878,2.0286881194299187,0.0,-0.0018421070579122123,0.25101180646932103
9.820238590240479,2.033107107009308,0.0,1.498175551979904,2.033107107009308,0.0,-0.001824448020095959,0.25499576956407827
9.830008745193481,2.037449103574791,0.0,1.4981931802391641,2.037449103574791,0.0,-0.0018068197608358538,0.2589152105741001
9.839979410171509,2.0417143335173247,0.0,1.498210749314294,2.0417143335173247,0.0,-0.001789250685706012,0.2627699988105701
9.849986553192139,2.045903037291354,0.0,1.4982282303752383,2.045903037291354,0.0,-0.0017717696247616654,0.2665600331232055
9.860034465789795,2.050015491022696,0.0,1.4982455964450627,2.050015491022696,0.0,-0.0017544035549372783,0.27028525902738804
9.870009660720825,2.0540520217738103,0.0,1.4982628246784453,2.0540520217738103,0.0,-0.001737175321554707,0.27394568203857744
9.880003452301025,2.058013016987419,0.0,1.4982798966658906,2.058013016987419,0.0,-0.0017201033341094352,0.277541375827085
9.890031814575195,2.061513701140087,0.0,1.4982951157649735,2.061513701140087,0.0,-0.0017048842350264604,0.28072227451528137
9.90001916885376,2.065710264633543,0.0,1.4983135160945587,2.065710264633543,0.0,-0.0016864839054413494,0.2845392200722077
9.910096645355225,2.069077172802857,0.0,1.498328398269627,2.069077172802857,0.0,-0.0016716017303730624,0.28760446620491126
9.920319557189941,2.073111514240252,0.0,1.4983463706320679,2.073111514240252,0.0,-0.001653629367932119,0.291280706124671
9.929992198944092,2.076702663564972,0.0,1.498362502412304,2.076702663564972,0.0,-0.0016374975876960463,0.2945561342042928
9.940054893493652,2.0802216889275256,0.0,1.4983784374534654,2.0802216889275256,0.0,-0.0016215625465345607,0.29776852099948187
9.950055837631226,2.0833276871984703,0.0,1.4983926114753414,2.0833276871984703,0.0,-0.0016073885246585817,0.30060609834293156
9.96002197265625,2.0870459869707862,0.0,1.4984097212570469,2.0870459869707862,0.0,-0.001590278742953144,0.30400577530545053
9.97007703781128,2.090025043709992,0.0,1.4984235448916734,2.090025043709992,0.0,-0.001576455108326602,0.30673166411077885
9.980027198791504,2.0935896124362685,0.0,1.4984402244970394,2.0935896124362685,0.0,-0.001559775502960603,0.30999574222890686
9.9900221824646,2.096757773621727,0.0,1.4984551802666963,2.096757773621727,0.0,-0.0015448197333036706,0.3128990316989348
10.00003719329834,2.099857677404594,0.0,1.4984699369638599,2.099857677404594,0.0,-0.0015300630361401168,0.31574175322834536
10.010006666183472,2.102889954705436,0.0,1.498484493337788,2.102889954705436,0.0,-0.0015155066622118962,0.3185243358845154
10.020246028900146,2.1058552384311513,0.0,1.498498848776413,2.1058552384311513,0.0,-0.0015011512235869606,0.321247217872002
10.030014753341675,2.1087541660939135,0.0,1.498513004266901,2.1087541660939135,0.0,-0.0014869957330989614,0.3239108486112828
10.040011882781982,2.1113069989521005,0.0,1.4985255738570107,2.1113069989521005,0.0,-0.0014744261429893157,0.3262578383405836
10.05001449584961,2.1143555387564423,0.0,1.4985407184012867,2.1143555387564423,0.0,-0.0014592815987133356,0.32906221975304356
10.060028791427612,2.116791800223771,0.0,1.4985529326570113,2.116791800223771,0.0,-0.001447067342988717,0.3313046436297599
10.070035696029663,2.119699326643897,0.0,1.4985676481281942,2.119699326643897,0.0,-0.0014323518718057926,0.33398231471890943
